Engineering_Branch,Student_Status,CGPA,Python_Proficiency,CPP_Proficiency,Java_Proficiency,MATLAB_Proficiency,DSA_Understanding,Database_SQL_Understanding,OOP_Understanding,OS_Understanding,Technical_Tools,Project_Count,Project_Domain,Internship_Experience,Preparation_Domain,Confidence_Level,Job_Role
ECE,Alumni (Graduated),6.96,3,4,3,4,3,3,4,4,Circuit design tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; MATLAB / Simulink,5+,Data Science / AI,Electronics / Embedded Internship,Embedded Systems / Electronics,3.0,Embedded Systems Engineer
CSE,Alumni (Graduated),7.57,4,4,4,1,5,3,5,3,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,5+,Software Development,Software Development Internship,Software Development,4.0,Software Developer
CSE,Alumni (Graduated),5.11,3,3,2,1,3,5,3,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers,0,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
CSE,Alumni (Graduated),7.59,4,4,5,2,4,2,4,3,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,3-4,Core Engineering,Software Development Internship,Software Development,5.0,Software Developer
Chemical,4th year student,8.48,2,1,1,5,1,1,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),5+,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Manufacturing Engineer
Civil,4th year student,6.44,2,2,1,5,3,1,3,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,1-2,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Mechanical Design Engineer
ECE,Alumni (Graduated),7.18,5,2,1,2,4,3,4,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Scientist
Civil,4th year student,7.06,2,3,1,3,2,2,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; MATLAB / Simulink,5+,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Mechanical Design Engineer
ECE,Alumni (Graduated),7.88,3,2,3,2,4,5,3,1,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,1-2,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Scientist
Electrical,4th year student,7.43,2,4,3,2,3,3,3,5,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,3.0,Embedded Systems Engineer
ECE,Alumni (Graduated),8.23,4,4,4,1,3,5,4,5,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers,3-4,Software Development,Core Engineering Internship,Data Science / AI,3.0,Software Developer
ECE,4th year student,7.91,1,3,4,4,3,2,3,4,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
ECE,4th year student,7.69,2,5,3,1,5,4,5,4,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,3-4,Robotics / Embedded Systems,Software Development Internship,Software Development,5.0,Software Developer
ECE,4th year student,8.38,1,4,1,3,3,2,4,4,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,1-2,Robotics / Embedded Systems,Electronics / Embedded Internship,Software Development,3.0,Embedded Systems Engineer
Chemical,Alumni (Graduated),9.35,2,2,2,3,1,2,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,5+,Core Engineering,No internship,Embedded Systems / Electronics,4.0,Manufacturing Engineer
Mechanical,4th year student,6.74,1,3,1,2,2,1,1,1,ANSYS / Simulation tools; Data Visualization (PowerBI / Tableau),0,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Manufacturing Engineer
ECE,4th year student,8.81,4,5,4,1,4,4,3,3,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,5.0,Data Scientist
Chemical,Alumni (Graduated),7.52,4,4,3,3,2,2,3,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
ECE,Alumni (Graduated),7.49,5,4,1,2,2,5,3,5,ANSYS / Simulation tools; Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
Mechanical,Alumni (Graduated),5.98,1,2,1,4,1,4,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Manufacturing Engineer
Mechanical,4th year student,7.15,1,2,1,2,1,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; MATLAB / Simulink,0,Core Engineering,No internship,Core Engineering,3.0,Manufacturing Engineer
AI,4th year student,8.96,5,3,1,3,5,5,4,2,ANSYS / Simulation tools; Circuit design tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; Machine Learning / Deep Learning,1-2,Data Science / AI,Data Science / AI Internship,Data Science / AI,5.0,Machine Learning Engineer
ECE,4th year student,6.96,5,2,5,2,4,4,4,4,Data Analysis (Python / Excel / Pandas),1-2,Software Development,Software Development Internship,Software Development,1.0,DevOps Engineer
Civil,Alumni (Graduated),7.76,1,2,1,5,2,2,3,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Embedded systems / microcontrollers; MATLAB / Simulink,5+,Core Engineering,Core Engineering Internship,Core Engineering,5.0,Mechanical Design Engineer
ECE,Alumni (Graduated),8.17,4,3,4,1,3,3,5,4,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,3-4,Software Development,Software Development Internship,Software Development,2.0,DevOps Engineer
Chemical,4th year student,6.49,1,1,1,4,2,1,2,1,ANSYS / Simulation tools; Embedded systems / microcontrollers,1-2,Robotics / Embedded Systems,Core Engineering Internship,Core Engineering,4.0,Manufacturing Engineer
ECE,4th year student,8.52,4,4,3,2,4,4,3,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Core Engineering,No internship,Data Science / AI,4.0,Machine Learning Engineer
Electrical,4th year student,8.67,3,4,3,3,2,1,3,5,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,5+,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
Mechanical,Alumni (Graduated),8.07,2,3,1,3,2,1,3,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,1-2,Data Science / AI,Core Engineering Internship,Core Engineering,4.0,Mechanical Design Engineer
AI,Alumni (Graduated),7.24,4,3,1,3,5,5,2,2,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
Civil,Alumni (Graduated),8.15,3,3,2,3,1,5,1,2,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Data Science / AI,Core Engineering Internship,Data Science / AI,2.0,Data Analyst
Mechanical,4th year student,7.52,2,2,2,4,2,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,3-4,Core Engineering,Core Engineering Internship,Core Engineering,4.0,Mechanical Design Engineer
ECE,Alumni (Graduated),8.09,5,3,2,4,4,4,4,2,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Data Science / AI,No internship,Data Science / AI,4.0,Machine Learning Engineer
CSE,Alumni (Graduated),8.26,5,3,1,3,4,4,2,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,5+,Software Development,Data Science / AI Internship,Data Science / AI,4.0,Data Scientist
AI,4th year student,8.33,4,1,2,1,2,4,3,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,1-2,Software Development,No internship,Data Science / AI,3.0,Data Analyst
Mechanical,Alumni (Graduated),6.61,3,1,2,4,2,2,1,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,1-2,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Mechanical Design Engineer
Civil,Alumni (Graduated),7.87,2,2,2,3,2,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,1-2,Core Engineering,Core Engineering Internship,Core Engineering,5.0,Mechanical Design Engineer
Electrical,4th year student,8.46,2,4,3,3,4,3,4,3,ANSYS / Simulation tools; Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,5.0,Embedded Systems Engineer
Civil,4th year student,8.18,3,2,2,3,3,2,1,3,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas),0,Core Engineering,No internship,Core Engineering,2.0,Civil Engineer
Civil,Alumni (Graduated),7.19,5,4,4,1,3,3,5,3,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Software Development,4.0,Software Developer
AI,4th year student,5.38,4,1,3,2,3,3,3,4,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),5+,Robotics / Embedded Systems,Electronics / Embedded Internship,Software Development,3.0,DevOps Engineer
CSE,Alumni (Graduated),7.36,4,5,3,1,5,3,4,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,3-4,Core Engineering,Core Engineering Internship,Software Development,3.0,Software Developer
ECE,Alumni (Graduated),6.63,4,4,3,3,4,3,4,4,Circuit design tools; Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,1-2,Robotics / Embedded Systems,No internship,Embedded Systems / Electronics,3.0,Embedded Systems Engineer
Electrical,Alumni (Graduated),6.73,5,2,1,2,3,5,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers,5+,Data Science / AI,Electronics / Embedded Internship,Data Science / AI,2.0,Data Analyst
AI,4th year student,8.13,5,3,3,3,4,4,5,2,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Software Development Internship,Data Science / AI,4.0,Data Scientist
Electrical,Alumni (Graduated),6.49,3,4,2,3,2,2,4,4,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
CSE,Alumni (Graduated),6.77,5,2,3,3,5,5,3,5,Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; MATLAB / Simulink,1-2,Software Development,Software Development Internship,Software Development,4.0,DevOps Engineer
Electrical,Alumni (Graduated),6.83,4,4,3,2,3,5,4,4,Circuit design tools; Data Analysis (Python / Excel / Pandas),3-4,Software Development,No internship,Software Development,3.0,DevOps Engineer
Electrical,4th year student,8.92,3,5,1,3,4,3,3,4,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,No internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
AI,4th year student,8.16,3,5,5,2,3,4,5,4,Data Analysis (Python / Excel / Pandas),1-2,Software Development,Software Development Internship,Software Development,4.0,Software Developer
Mechanical,4th year student,6.52,1,2,1,3,1,2,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Embedded systems / microcontrollers,1-2,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Manufacturing Engineer
AI,Alumni (Graduated),8.99,5,2,1,4,4,3,4,5,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Consulting / Management,4.0,Data Scientist
Electrical,4th year student,6.91,5,4,4,1,3,2,2,3,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,3-4,Software Development,Software Development Internship,Software Development,3.0,DevOps Engineer
Civil,4th year student,5.76,2,1,1,5,1,1,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Machine Learning / Deep Learning,3-4,Data Science / AI,Core Engineering Internship,Core Engineering,1.0,Manufacturing Engineer
Electrical,4th year student,8.97,4,2,2,4,2,3,3,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,1-2,Mixed domains,Electronics / Embedded Internship,Data Science / AI,4.0,Data Analyst
ECE,Alumni (Graduated),8.82,5,5,4,1,5,4,4,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Software Development,Software Development Internship,Software Development,3.0,Software Developer
ECE,Alumni (Graduated),7.66,2,4,4,2,4,4,4,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); MATLAB / Simulink; Machine Learning / Deep Learning,5+,Core Engineering,Software Development Internship,Software Development,4.0,Software Developer
CSE,Alumni (Graduated),9.09,3,4,3,1,5,4,5,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Software Development,Software Development Internship,Software Development,3.0,Software Developer
Civil,4th year student,6.73,5,5,3,2,2,2,5,4,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Software Development,Software Development Internship,Software Development,4.0,DevOps Engineer
AI,Alumni (Graduated),7.96,4,5,3,1,4,2,5,3,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas),3-4,Software Development,Software Development Internship,Software Development,3.0,Software Developer
AI,4th year student,7.84,4,5,2,2,4,4,3,1,Circuit design tools; Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,5.0,Machine Learning Engineer
Electrical,4th year student,8.07,2,1,2,5,2,4,4,2,Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,4.0,Data Analyst
AI,Alumni (Graduated),8.45,4,4,5,2,5,4,5,3,Data Analysis (Python / Excel / Pandas),5+,Software Development,Data Science / AI Internship,Software Development,4.0,Software Developer
AI,4th year student,7.63,4,4,4,3,5,2,4,4,Circuit design tools; Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,5+,Software Development,Software Development Internship,Software Development,3.0,Software Developer
Mechanical,4th year student,8.12,1,1,1,3,1,1,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),1-2,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
Civil,Alumni (Graduated),8.35,2,3,2,4,2,2,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Core Engineering,Core Engineering Internship,Consulting / Management,1.0,Mechanical Design Engineer
Mechanical,Alumni (Graduated),8.36,1,2,3,4,1,2,4,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,5+,Robotics / Embedded Systems,Core Engineering Internship,Core Engineering,4.0,Mechanical Design Engineer
Metallurgy,Alumni (Graduated),6.44,2,1,1,4,1,3,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),1-2,Core Engineering,No internship,Core Engineering,2.0,Manufacturing Engineer
AI,4th year student,8.59,4,2,3,3,3,5,2,1,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
Civil,4th year student,6.35,2,1,1,3,2,2,1,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools,3-4,Core Engineering,Core Engineering Internship,Data Science / AI,2.0,Civil Engineer
Mechanical,Alumni (Graduated),6.0,2,2,1,2,1,2,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools,3-4,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Civil Engineer
Civil,4th year student,7.98,3,2,1,2,1,3,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),0,Core Engineering,Core Engineering Internship,Consulting / Management,4.0,Civil Engineer
CSE,Alumni (Graduated),6.15,4,2,3,4,4,5,4,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,No internship,Data Science / AI,4.0,Data Scientist
Metallurgy,4th year student,8.05,2,5,2,5,3,2,1,3,ANSYS / Simulation tools; Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,5+,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,4.0,Embedded Systems Engineer
CSE,4th year student,8.3,5,2,2,3,3,4,3,4,Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,5.0,Data Scientist
Civil,4th year student,8.16,1,1,2,3,2,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,5+,Core Engineering,Core Engineering Internship,Core Engineering,5.0,Civil Engineer
Metallurgy,Alumni (Graduated),7.24,2,2,1,5,1,1,3,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; MATLAB / Simulink,3-4,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Mechanical Design Engineer
Civil,4th year student,7.18,1,2,1,3,2,2,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Embedded systems / microcontrollers,3-4,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Manufacturing Engineer
AI,4th year student,8.11,4,2,1,3,2,5,3,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),1-2,Data Science / AI,Data Science / AI Internship,Software Development,3.0,Data Analyst
Chemical,Alumni (Graduated),7.43,3,1,1,3,1,2,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Machine Learning / Deep Learning,1-2,Core Engineering,Core Engineering Internship,Core Engineering,4.0,Manufacturing Engineer
Metallurgy,Alumni (Graduated),7.33,1,2,2,2,1,3,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Embedded systems / microcontrollers,3-4,Core Engineering,Software Development Internship,Consulting / Management,3.0,Manufacturing Engineer
Mechanical,4th year student,7.43,1,3,1,5,1,2,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,5+,Core Engineering,Core Engineering Internship,Core Engineering,5.0,Mechanical Design Engineer
Chemical,4th year student,9.3,3,3,4,2,4,3,4,5,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,1-2,Software Development,Software Development Internship,Software Development,3.0,DevOps Engineer
Mechanical,4th year student,6.21,1,3,2,5,1,3,1,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Core Engineering,Core Engineering Internship,Core Engineering,5.0,Mechanical Design Engineer
AI,Alumni (Graduated),8.05,4,3,2,4,3,5,4,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Consulting / Management,4.0,Data Scientist
ECE,Alumni (Graduated),8.0,5,4,2,2,3,5,2,4,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Scientist
Civil,4th year student,8.83,1,2,2,3,1,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau); MATLAB / Simulink,3-4,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Mechanical Design Engineer
Mechanical,4th year student,7.48,1,3,1,4,3,1,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,1-2,Mixed domains,Core Engineering Internship,Core Engineering,5.0,Mechanical Design Engineer
Civil,Alumni (Graduated),5.81,2,1,2,2,1,1,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,1-2,Core Engineering,No internship,Core Engineering,2.0,Civil Engineer
Civil,Alumni (Graduated),8.16,4,3,4,1,5,3,4,5,Data Analysis (Python / Excel / Pandas),3-4,Software Development,Software Development Internship,Software Development,2.0,DevOps Engineer
ECE,Alumni (Graduated),7.99,3,5,4,2,4,3,5,4,Data Analysis (Python / Excel / Pandas),3-4,Software Development,No internship,Software Development,4.0,Software Developer
CSE,Alumni (Graduated),8.37,4,5,5,1,5,2,4,4,Circuit design tools; Data Analysis (Python / Excel / Pandas),1-2,Software Development,Software Development Internship,Data Science / AI,4.0,Software Developer
CSE,Alumni (Graduated),7.35,4,3,4,2,5,3,4,4,Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,1-2,Software Development,Software Development Internship,Software Development,3.0,Software Developer
ECE,Alumni (Graduated),8.05,1,4,1,4,3,3,3,5,Circuit design tools; Embedded systems / microcontrollers; MATLAB / Simulink,3-4,Robotics / Embedded Systems,Core Engineering Internship,Embedded Systems / Electronics,2.0,Embedded Systems Engineer
ECE,4th year student,8.22,5,3,4,2,4,4,5,3,Data Analysis (Python / Excel / Pandas); MATLAB / Simulink,5+,Software Development,Software Development Internship,Software Development,4.0,Software Developer
Metallurgy,Alumni (Graduated),8.52,1,1,2,3,1,2,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas),1-2,Core Engineering,Core Engineering Internship,Core Engineering,3.0,Manufacturing Engineer
ECE,4th year student,6.65,3,1,1,2,1,2,2,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Machine Learning / Deep Learning,1-2,Core Engineering,Core Engineering Internship,Software Development,2.0,Civil Engineer
AI,Alumni (Graduated),9.07,5,5,4,3,5,3,4,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Software Development,4.0,Machine Learning Engineer
AI,Alumni (Graduated),6.5,4,1,1,1,2,4,2,4,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),5+,Data Science / AI,No internship,Data Science / AI,5.0,Data Analyst
Chemical,Alumni (Graduated),7.09,2,2,2,4,1,2,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); Data Visualization (PowerBI / Tableau),1-2,Mixed domains,No internship,Core Engineering,3.0,Manufacturing Engineer
CSE,4th year student,6.82,2,5,4,1,5,3,5,3,CAD tools (SolidWorks / CATIA / AutoCAD); Circuit design tools; Data Analysis (Python / Excel / Pandas),5+,Software Development,Software Development Internship,Software Development,4.0,Software Developer
ECE,4th year student,7.52,4,3,4,3,4,3,3,2,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau),3-4,Data Science / AI,Data Science / AI Internship,Data Science / AI,3.0,Data Analyst
AI,Alumni (Graduated),8.03,3,3,1,3,4,4,2,3,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Embedded systems / microcontrollers; MATLAB / Simulink,5+,Data Science / AI,Core Engineering Internship,Data Science / AI,3.0,Data Analyst
Metallurgy,4th year student,7.88,3,3,1,5,1,2,4,2,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD); MATLAB / Simulink,1-2,Core Engineering,Core Engineering Internship,Core Engineering,2.0,Mechanical Design Engineer
AI,4th year student,7.86,5,3,1,3,5,4,4,3,CAD tools (SolidWorks / CATIA / AutoCAD); Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,5+,Core Engineering,Data Science / AI Internship,Data Science / AI,4.0,Machine Learning Engineer
ECE,Alumni (Graduated),6.89,3,5,3,4,4,2,3,3,Circuit design tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,3-4,Robotics / Embedded Systems,Electronics / Embedded Internship,Embedded Systems / Electronics,5.0,Embedded Systems Engineer
Electrical,4th year student,8.33,2,2,1,3,1,2,2,1,ANSYS / Simulation tools; CAD tools (SolidWorks / CATIA / AutoCAD),3-4,Core Engineering,No internship,Core Engineering,4.0,Manufacturing Engineer
CSE,4th year student,7.73,4,3,4,1,4,3,4,4,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; MATLAB / Simulink; Machine Learning / Deep Learning,5+,Software Development,Software Development Internship,Software Development,5.0,Software Developer
Chemical,4th year student,9.44,5,5,3,3,3,4,3,4,Data Analysis (Python / Excel / Pandas); Data Visualization (PowerBI / Tableau); Machine Learning / Deep Learning,3-4,Data Science / AI,Data Science / AI Internship,Software Development,3.0,Data Scientist
ECE,4th year student,9.17,4,5,4,3,4,4,3,3,ANSYS / Simulation tools; Data Analysis (Python / Excel / Pandas); Embedded systems / microcontrollers; Machine Learning / Deep Learning,3-4,Data Science / AI,Software Development Internship,Data Science / AI,5.0,Machine Learning Engineer
